香港频道,#genre#
英国BBC 生活频道,P2p://51.79.41.138:18912/5b1408f2000906bd17d08eee48ad4871.ts.ts
电报交流群‖homenet6,#genre#
英国SKY 天空新闻,P2p://51.79.41.138:18912/5bdbf3c000090089d217ae043a22515e.ts.ts#P2p://51.79.41.138:18912/5b13f6f0000c1dd6178a37ea3bf441c8.ts.ts
美国CNN 新闻频道,P2p://51.79.41.138:18912/5b140954000dc92a17d20ef75fdd0a01.ts.ts#P2p://51.79.41.138:18912/5b593947000cff32d36fb9d074780d12.ts.ts
美国CBS 新闻频道,http://cbsnewshd-lh.akamaihd.net/i/CBSNHD_7@199302/index_1800_av-p.m3u8#http://cbsnewshd-lh.akamaihd.net/i/CBSNHD_7@199302/index_2200_av-p.m3u8
美国FOX 体育新闻,https://austchannel-live.akamaized.net/hls/live/2002736/austchannel-sport/master1280x720.m3u8
埃及AVA 音乐频道,http://51.15.236.137/hls/stream.m3u8
美国MTV 音乐频道,http://unilivemtveu-lh.akamaihd.net/i/mtvno_1@346424/index_3500_av-b.m3u8
美国NBA 体育频道,P2p://51.79.41.138:18912/5cffd5d4000b327e29bf91367f2d3b8b.ts.ts
美国汽车频道,http://dcunilive28-lh.akamaihd.net/i/dclive_1@624563/master.m3u8
法国巴黎调频,http://d2ktlibtvvj8vp.cloudfront.net/trace_kitoko/6/prog_index.m3u8
法国热带音乐,http://d2ktlibtvvj8vp.cloudfront.net/trace_tropical/6/prog_index.m3u8
美国美国之音,https://voa-lh.akamaihd.net/i/voa_mpls_tvmc6@320298/index_0540_av-p.m3u8
美国美国中央台,http://livestream.usatv.com/hls/m3u8/USARMENIA720.m3u8
美国布兰奇电视,http://livestream.usatv.com/hls/m3u8/ARTN-NET.m3u8
美国芝加哥新闻,http://wgntribune-lh.akamaihd.net/i/WGNPrimary_1@304622/index_2500_av-b.m3u8
美国彭博财经台,http://liveproduseast.akamaized.net/us/Channel-USTV-AWS-virginia-1/Source-USTV-1000-1_live.m3u8
法国第五世界台,http://v3plusinfo247hls-i.akamaihd.net/hls/live/218877-b/v3plusinfo247hls/v3plusinfo247hls_1_1.m3u8
美国中国环球 (美国),http://live.cgtn.com/1000/prog_index.m3u8
法国中国环球 (法国),http://live.cgtn.com/1000f/prog_index.m3u8
